Date,Followers
2020-05-07,1580000
2020-05-06,1570000
2020-05-05,1570000
2020-05-04,1560000
2020-05-03,1560000
2020-05-02,1550000
2020-05-01,1550000
2020-04-30,1540000
2020-04-29,1540000
2020-04-28,1540000
2020-04-27,1540000
2020-04-26,1540000
2020-04-25,1540000
2020-04-24,1540000
2020-04-23,1530000
2020-04-22,1530000
2020-04-21,1530000
2020-04-20,1530000
2020-04-19,1530000
2020-04-18,1530000
2020-04-17,1530000
2020-04-16,1530000
2020-04-15,1530000
2020-04-14,1530000
2020-04-13,1520000
2020-04-12,1520000
2020-04-11,1520000
2020-04-10,1520000
2020-04-09,1520000
2020-04-08,1520000
2020-04-07,1520000
2020-04-06,1520000
2020-04-05,1520000
2020-04-04,1520000
2020-04-03,1520000
2020-04-02,1520000
2020-04-01,1520000
2020-03-31,1520000
2020-03-30,1520000
2020-03-29,1520000
2020-03-28,1520000
2020-03-27,1510000
2020-03-26,1510000
2020-03-25,1510000
2020-03-24,1510000
2020-03-23,1510000
2020-03-22,1510000
2020-03-21,1510000
2020-03-20,1510000
2020-03-19,1510000
2020-03-18,1510000
2020-03-17,1510000
2020-03-16,1510000
2020-03-15,1510000
2020-03-14,1510000
2020-03-13,1510000
2020-03-12,1510000
2020-03-11,1510000
2020-03-10,1510000
2020-03-09,1510000
2020-03-08,1510000
2020-03-07,1510000
2020-03-06,1510000
2020-03-05,1510000
2020-03-04,1510000
2020-03-03,1510000
2020-03-02,1510000
2020-03-01,1510000
2020-02-29,1510000
2020-02-28,1510000
2020-02-27,1510000
2020-02-26,1510000
2020-02-25,1510000
2020-02-24,1510000
2020-02-23,1510000
2020-02-22,1510000
2020-02-21,1510000
2020-02-20,1510000
2020-02-19,1510000
2020-02-18,1510000
2020-02-17,1510000
2020-02-16,1510000
2020-02-15,1510000
2020-02-14,1510000
2020-02-13,1510000
2020-02-12,1510000
2020-02-11,1510000
2020-02-10,1510000
2020-02-09,1510000
2020-02-08,1510000
2020-02-07,1510000
2020-02-06,1510000
2020-02-05,1510000
2020-02-04,1510000
2020-02-03,1510000
2020-02-02,1510000
2020-02-01,1510000
2020-01-31,1510000
2020-01-30,1510000
2020-01-29,1500000
2020-01-28,1500000
2020-01-27,1500000
2020-01-26,1500000
2020-01-25,1500000
2020-01-24,1500000
2020-01-23,1500000
2020-01-22,1500000
2020-01-21,1500000
2020-01-20,1500000
2020-01-19,1500000
2020-01-18,1500000
2020-01-17,1500000
2020-01-16,1500000
2020-01-15,1500000
2020-01-14,1500000
2020-01-13,1500000
2020-01-12,1490000
2020-01-11,1490000
2020-01-10,1490000
2020-01-09,1490000
2020-01-08,1490000
2020-01-07,1490000
2020-01-06,1490000
2020-01-05,1490000
2020-01-04,1490000
