Date,Followers
2020-05-07,1190000
2020-05-06,1190000
2020-05-05,1190000
2020-05-04,1190000
2020-05-03,1190000
2020-05-02,1190000
2020-05-01,1190000
2020-04-30,1190000
2020-04-29,1190000
2020-04-28,1190000
2020-04-27,1190000
2020-04-26,1190000
2020-04-25,1190000
2020-04-24,1190000
2020-04-23,1190000
2020-04-22,1190000
2020-04-21,1190000
2020-04-20,1190000
2020-04-19,1190000
2020-04-18,1190000
2020-04-17,1190000
2020-04-16,1190000
2020-04-15,1190000
2020-04-14,1190000
2020-04-13,1190000
2020-04-12,1190000
2020-04-11,1190000
2020-04-10,1190000
2020-04-09,1190000
2020-04-08,1190000
2020-04-07,1190000
2020-04-06,1190000
2020-04-05,1190000
2020-04-04,1190000
2020-04-03,1190000
2020-04-02,1190000
2020-04-01,1200000
2020-03-31,1200000
2020-03-30,1200000
2020-03-29,1200000
2020-03-28,1200000
2020-03-27,1200000
2020-03-26,1200000
2020-03-25,1200000
2020-03-24,1200000
2020-03-23,1200000
2020-03-22,1200000
2020-03-21,1200000
2020-03-20,1200000
2020-03-19,1200000
2020-03-18,1200000
2020-03-17,1200000
2020-03-16,1200000
2020-03-15,1200000
2020-03-14,1200000
2020-03-13,1200000
2020-03-12,1200000
2020-03-11,1200000
2020-03-10,1200000
2020-03-09,1200000
2020-03-08,1200000
2020-03-07,1200000
2020-03-06,1200000
2020-03-05,1200000
2020-03-04,1200000
2020-03-03,1200000
2020-03-02,1200000
2020-03-01,1200000
2020-02-29,1200000
2020-02-28,1200000
2020-02-27,1200000
2020-02-26,1200000
2020-02-25,1200000
2020-02-24,1200000
2020-02-23,1200000
2020-02-22,1200000
2020-02-21,1200000
2020-02-20,1200000
2020-02-19,1200000
2020-02-18,1200000
2020-02-17,1200000
2020-02-16,1200000
2020-02-15,1200000
2020-02-14,1200000
2020-02-13,1200000
2020-02-12,1200000
2020-02-11,1200000
2020-02-10,1200000
2020-02-09,1200000
2020-02-08,1200000
2020-02-07,1200000
2020-02-06,1200000
2020-02-05,1200000
2020-02-04,1200000
2020-02-03,1200000
2020-02-02,1200000
2020-02-01,1200000
2020-01-31,1200000
2020-01-30,1200000
2020-01-29,1200000
2020-01-28,1200000
2020-01-27,1200000
2020-01-26,1200000
2020-01-25,1200000
2020-01-24,1200000
2020-01-23,1200000
2020-01-22,1200000
2020-01-21,1200000
2020-01-20,1200000
2020-01-19,1200000
2020-01-18,1200000
2020-01-17,1200000
2020-01-16,1200000
2020-01-15,1200000
2020-01-14,1200000
2020-01-13,1200000
2020-01-12,1200000
2020-01-11,1200000
2020-01-10,1200000
2020-01-09,1200000
2020-01-08,1200000
2020-01-07,1200000
2020-01-06,1200000
2020-01-05,1200000
2020-01-04,1200000
2020-01-03,1200000
2020-01-02,1200000
2020-01-01,1200000
2019-12-31,1200000
2019-12-30,1200000
2019-12-29,1200000
2019-12-28,1200000
2019-12-27,1200000
2019-12-26,1200000
2019-12-25,1200000
2019-12-24,1200000
2019-12-23,1200000
2019-12-22,1200000
2019-12-21,1200000
2019-12-20,1200000
2019-12-19,1200000
2019-12-18,1200000
2019-12-17,1200000
2019-12-16,1200000
2019-12-15,1200000
2019-12-14,1200000
2019-12-13,1200000
2019-12-12,1200000
2019-12-11,1200000
2019-12-10,1200000
2019-12-09,1200000
2019-12-08,1200000
2019-12-07,1200000
2019-12-06,1200000
2019-12-05,1200000
2019-12-04,1200000
2019-12-03,1210000
2019-12-02,1210000
2019-12-01,1210000
2019-11-30,1210000
2019-11-29,1210000
2019-11-28,1210000
2019-11-27,1210000
2019-11-26,1210000
2019-11-25,1210000
2019-11-24,1210000
2019-11-23,1210000
2019-11-22,1210000
2019-11-21,1210000
2019-11-20,1210000
2019-11-19,1210000
2019-11-18,1210000
2019-11-17,1210000
2019-11-16,1210000
2019-11-15,1210000
2019-11-14,1210000
2019-11-13,1210000
2019-11-12,1210000
2019-11-11,1210000
2019-11-10,1210000
2019-11-09,1210000
2019-11-08,1210000
2019-11-07,1210000
2019-11-06,1210000
2019-11-05,1210000
2019-11-04,1210000
2019-11-03,1210000
2019-11-02,1210000
2019-11-01,1210000
2019-10-31,1210000
2019-10-30,1210000
2019-10-29,1210000
2019-10-28,1210000
2019-10-27,1210000
2019-10-26,1210000
2019-10-25,1210000
2019-10-24,1210000
2019-10-23,1210000
2019-10-22,1210000
2019-10-21,1210000
2019-10-20,1210000
2019-10-19,1210000
2019-10-18,1210000
2019-10-17,1210000
2019-10-16,1210000
2019-10-15,1210000
2019-10-14,1210000
2019-10-13,1210000
2019-10-12,1210000
2019-10-11,1210000
2019-10-10,1210000
2019-10-09,1210000
2019-10-08,1210000
2019-10-07,1210000
2019-10-06,1210000
2019-10-05,1210000
2019-10-04,1210000
2019-10-03,1210000
2019-10-02,1210000
2019-10-01,1210000
2019-09-30,1210000
2019-09-29,1210000
2019-09-28,1210000
2019-09-27,1210000
2019-09-26,1210000
2019-09-25,1210000
2019-09-24,1210000
2019-09-23,1210000
2019-09-22,1210000
2019-09-21,1210000
2019-09-20,1210000
2019-09-19,1210000
2019-09-18,1210000
2019-09-17,1214580
2019-09-16,1214620
2019-09-15,1214680
2019-09-14,1214736
2019-09-13,1214755
2019-09-12,1214821
2019-09-11,1214852
2019-09-10,1214912
2019-09-09,1215016
2019-09-08,1215117
2019-09-07,1215165
2019-09-06,1215271
2019-09-05,1215331
2019-09-04,1215419
2019-09-03,1215478
2019-09-02,1215522
2019-09-01,1215626
2019-08-31,1215688
2019-08-30,1215729
2019-08-29,1215841
2019-08-28,1215976
2019-08-27,1216055
2019-08-26,1216109
2019-08-25,1216167
2019-08-24,1216236
2019-08-23,1216279
2019-08-22,1216364
2019-08-21,1216421
2019-08-20,1216450
2019-08-19,1216500
2019-08-18,1216553
2019-08-17,1216570
2019-08-16,1216596
2019-08-15,1216591
2019-08-14,1216688
2019-08-13,1216822
2019-08-12,1216918
2019-08-11,1217019
2019-08-10,1217126
2019-08-09,1217188
2019-08-08,1217255
2019-08-07,1217332
2019-08-06,1217408
2019-08-05,1217489
2019-08-04,1217533
2019-08-03,1217607
2019-08-02,1217633
2019-08-01,1217695
2019-07-31,1217766
2019-07-30,1217848
2019-07-29,1217920
2019-07-28,1217996
2019-07-27,1218078
2019-07-26,1218126
2019-07-25,1218162
2019-07-24,1218150
2019-07-23,1218159
2019-07-22,1218251
2019-07-21,1218372
2019-07-20,1218468
2019-07-19,1218565
2019-07-18,1218645
2019-07-17,1218731
2019-07-16,1218757
2019-07-15,1218774
2019-07-14,1218915
2019-07-13,1219039
2019-07-12,1219128
2019-07-11,1219196
2019-07-10,1219244
2019-07-09,1219345
2019-07-08,1219467
2019-07-07,1219688
2019-07-06,1219787
2019-07-05,1219907
2019-07-04,1219938
2019-07-03,1219997
2019-07-02,1220087
2019-07-01,1220144
2019-06-30,1220290
2019-06-29,1220382
2019-06-28,1220449
2019-06-27,1220519
2019-06-26,1220617
2019-06-25,1220722
2019-06-24,1220816
2019-06-23,1220916
2019-06-22,1221023
2019-06-21,1221117
2019-06-20,1221211
2019-06-19,1221302
2019-06-18,1221416
2019-06-17,1221538
2019-06-16,1221560
2019-06-15,1221679
2019-06-14,1221787
2019-06-13,1221849
2019-06-12,1221947
2019-06-11,1222070
2019-06-10,1222185
2019-06-09,1222318
2019-06-08,1222303
2019-06-07,1222367
2019-06-06,1222497
2019-06-05,1222737
2019-06-04,1222893
2019-06-03,1223074
2019-06-02,1223096
2019-06-01,1223274
2019-05-31,1223302
2019-05-30,1223337
2019-05-29,1223376
2019-05-28,1223409
2019-05-27,1223441
2019-05-26,1223471
2019-05-25,1223720
2019-05-24,1223847
2019-05-23,1223618
2019-05-22,1223395
2019-05-21,1223455
2019-05-20,1223519
2019-05-19,1223586
2019-05-18,1223677
2019-05-17,1223810
2019-05-16,1223922
2019-05-15,1224218
2019-05-14,1224597
2019-05-13,1224615
2019-05-12,1224641
2019-05-11,1224656
2019-05-10,1224672
2019-05-09,1224726
2019-05-08,1224741
2019-05-07,1224800
2019-05-06,1224841
2019-05-05,1224907
2019-05-04,1224933
2019-05-03,1224956
