Date,Followers
2020-05-07,29341
2020-05-06,29333
2020-05-05,29334
2020-05-04,29323
2020-05-03,29319
2020-05-02,29301
2020-05-01,29281
2020-04-30,29260
2020-04-29,29259
2020-04-28,29263
2020-04-27,29256
2020-04-26,29257
2020-04-25,29244
2020-04-24,29245
2020-04-23,29239
2020-04-22,29223
2020-04-21,29202
2020-04-20,29182
2020-04-19,29165
2020-04-18,28977
2020-04-17,28935
2020-04-16,28953
2020-04-15,28953
2020-04-14,28954
2020-04-13,28945
2020-04-12,28936
2020-04-11,28908
2020-04-10,28905
2020-04-09,28899
2020-04-08,28902
2020-04-07,28891
2020-04-06,28881
2020-04-05,28875
2020-04-04,28874
2020-04-03,28873
2020-04-02,28877
2020-04-01,28891
2020-03-31,28890
2020-03-30,28894
2020-03-29,28898
2020-03-28,28884
2020-03-27,28864
2020-03-26,28853
2020-03-25,28852
2020-03-24,28850
2020-03-23,28848
2020-03-22,28848
2020-03-21,28837
2020-03-20,28820
2020-03-19,28813
2020-03-18,28802
2020-03-17,28805
2020-03-16,28800
2020-03-15,28793
2020-03-14,28782
2020-03-13,28764
2020-03-12,28735
2020-03-11,28720
2020-03-10,28715
2020-03-09,28707
2020-03-08,28682
2020-03-07,28675
2020-03-06,28667
2020-03-05,28661
2020-03-04,28664
2020-03-03,28663
2020-03-02,28652
2020-03-01,28644
2020-02-29,28642
2020-02-28,28646
2020-02-27,28668
2020-02-26,28660
2020-02-25,28643
2020-02-24,28644
2020-02-23,28643
2020-02-22,28634
2020-02-21,28614
2020-02-20,28607
2020-02-19,28539
2020-02-18,28488
2020-02-17,28457
2020-02-16,28444
2020-02-15,28443
2020-02-14,28428
2020-02-13,28406
2020-02-12,28386
2020-02-11,28369
2020-02-10,28363
2020-02-09,28367
2020-02-08,28353
2020-02-07,28354
2020-02-06,28343
2020-02-05,28342
2020-02-04,28331
2020-02-03,28322
2020-02-02,28264
2020-02-01,28247
2020-01-31,28241
2020-01-30,28219
2020-01-29,28208
2020-01-28,28215
2020-01-27,28214
2020-01-26,28187
2020-01-25,28189
2020-01-24,28195
2020-01-23,28190
2020-01-22,28182
2020-01-21,28172
2020-01-20,28163
2020-01-19,28160
2020-01-18,28154
2020-01-17,28151
2020-01-16,28152
2020-01-15,28136
2020-01-14,28138
2020-01-13,28143
2020-01-12,28136
2020-01-11,28127
2020-01-10,28137
2020-01-09,28140
2020-01-08,28137
2020-01-07,28134
2020-01-06,28133
2020-01-05,28129
2020-01-04,28108
2020-01-03,28116
2020-01-02,28114
2020-01-01,28115
2019-12-31,28112
2019-12-30,28117
2019-12-29,28116
2019-12-28,28108
2019-12-27,28115
2019-12-26,28134
2019-12-25,28147
2019-12-24,28149
2019-12-23,28122
2019-12-22,28120
2019-12-21,28120
2019-12-20,28128
2019-12-19,28125
2019-12-18,28129
2019-12-17,28124
2019-12-16,28126
2019-12-15,28128
2019-12-14,28132
2019-12-13,28123
2019-12-12,28119
2019-12-11,28123
2019-12-10,28117
2019-12-09,28093
2019-12-08,28094
2019-12-07,28098
2019-12-06,28105
2019-12-05,28102
2019-12-04,28090
2019-12-03,28083
2019-12-02,28130
2019-12-01,28129
2019-11-30,28126
2019-11-29,28118
2019-11-28,28118
2019-11-27,28128
2019-11-26,28126
2019-11-25,28098
2019-11-24,28086
2019-11-23,28071
2019-11-22,27997
2019-11-21,27999
2019-11-20,28004
2019-11-19,28014
2019-11-18,28008
2019-11-17,28007
2019-11-16,28011
2019-11-15,28011
2019-11-14,28012
2019-11-13,28012
2019-11-12,28012
2019-11-11,28018
2019-11-10,28014
2019-11-09,28011
2019-11-08,28013
2019-11-07,28015
2019-11-06,28018
2019-11-05,28009
2019-11-04,28004
2019-11-03,27999
2019-11-02,28006
2019-11-01,28009
2019-10-31,28003
2019-10-30,27986
2019-10-29,27976
2019-10-28,27974
2019-10-27,27972
2019-10-26,27972
2019-10-25,27956
2019-10-24,27948
2019-10-23,27949
2019-10-22,27929
2019-10-21,27930
2019-10-20,27927
2019-10-19,27924
2019-10-18,27920
2019-10-17,27934
2019-10-16,27914
2019-10-15,27922
2019-10-14,27942
2019-10-13,27949
2019-10-12,27962
2019-10-11,27946
2019-10-10,27953
2019-10-09,27964
2019-10-08,27949
2019-10-07,27954
2019-10-06,27953
2019-10-05,27953
2019-10-04,27957
2019-10-03,27958
2019-10-02,27950
2019-10-01,27940
2019-09-30,27930
2019-09-29,27932
2019-09-28,27929
2019-09-27,27919
2019-09-26,27931
2019-09-25,27928
2019-09-24,27928
2019-09-23,27921
2019-09-22,27922
2019-09-21,27929
2019-09-20,27916
2019-09-19,27928
2019-09-18,27916
2019-09-17,27911
2019-09-16,27909
2019-09-15,27911
2019-09-14,27916
2019-09-13,27916
2019-09-12,27913
2019-09-11,27912
2019-09-10,27902
2019-09-09,27905
2019-09-08,27913
2019-09-07,27911
2019-09-06,27906
2019-09-05,27929
2019-09-04,27937
2019-09-03,27922
2019-09-02,27928
2019-09-01,27943
2019-08-31,27944
2019-08-30,27937
2019-08-29,27949
2019-08-28,27949
2019-08-27,27955
2019-08-26,27945
2019-08-25,27955
2019-08-24,27956
2019-08-23,27955
2019-08-22,27955
2019-08-21,27963
2019-08-20,27961
2019-08-19,27959
2019-08-18,27956
2019-08-17,27943
2019-08-16,27927
2019-08-15,27921
2019-08-14,27908
2019-08-13,27889
2019-08-12,27864
2019-08-11,27869
2019-08-10,27852
2019-08-09,27815
2019-08-08,27809
2019-08-07,27809
2019-08-06,27805
2019-08-05,27812
2019-08-04,27809
2019-08-03,27819
2019-08-02,27808
2019-08-01,27795
2019-07-31,27791
2019-07-30,27788
2019-07-29,27789
2019-07-28,27794
2019-07-27,27791
2019-07-26,27787
2019-07-25,27787
2019-07-24,27778
2019-07-23,27777
2019-07-22,27767
2019-07-21,27761
2019-07-20,27759
2019-07-19,27741
2019-07-18,27734
2019-07-17,27701
2019-07-16,27710
2019-07-15,27719
2019-07-14,27725
2019-07-13,27717
2019-07-12,27711
2019-07-11,27705
2019-07-10,27701
2019-07-09,27679
2019-07-08,27669
2019-07-07,27660
2019-07-06,27653
2019-07-05,27629
2019-07-04,27617
2019-07-03,27607
2019-07-02,27575
2019-07-01,27516
2019-06-30,27501
2019-06-29,27480
2019-06-28,27460
2019-06-27,27439
2019-06-26,27427
2019-06-25,27406
2019-06-24,27394
2019-06-23,27379
2019-06-22,27338
2019-06-21,27318
2019-06-20,27310
2019-06-19,27289
2019-06-18,27232
2019-06-17,27199
2019-06-16,27206
2019-06-15,27197
2019-06-14,27171
2019-06-13,27167
2019-06-12,27157
2019-06-11,27147
2019-06-10,27131
2019-06-09,27114
2019-06-08,27100
2019-06-07,27085
2019-06-06,27099
2019-06-05,27083
2019-06-04,27069
2019-06-03,27073
2019-06-02,27056
2019-06-01,27036
2019-05-31,27025
2019-05-30,26986
2019-05-29,26970
2019-05-28,26969
2019-05-27,26963
2019-05-26,26951
2019-05-25,26916
2019-05-24,26912
2019-05-23,26885
2019-05-22,26882
2019-05-21,26890
2019-05-20,26899
2019-05-19,26875
2019-05-18,26871
2019-05-17,26870
2019-05-16,26862
2019-05-15,26859
2019-05-14,26849
2019-05-13,26827
2019-05-12,26809
2019-05-11,26798
2019-05-10,26796
2019-05-09,26773
2019-05-08,26773
2019-05-07,26768
2019-05-06,26787
2019-05-05,26851
2019-05-04,26831
2019-05-03,26831
2019-05-02,26825
2019-05-01,26815
2019-04-30,26808
2019-04-29,26813
2019-04-28,26815
2019-04-27,26794
2019-04-26,26794
2019-04-25,26783
2019-04-24,26782
2019-04-23,26778
2019-04-22,26780
2019-04-21,26793
2019-04-20,26779
2019-04-19,26761
2019-04-18,26762
2019-04-17,26767
2019-04-16,26747
2019-04-15,26748
2019-04-14,26755
2019-04-13,26765
2019-04-12,26758
2019-04-11,26763
2019-04-10,26746
2019-04-09,26711
2019-04-08,26675
2019-04-07,26679
2019-04-06,26676
2019-04-05,26656
2019-04-04,26641
2019-04-03,26631
2019-04-02,26630
2019-04-01,26641
2019-03-31,26650
2019-03-30,26637
2019-03-29,26605
2019-03-28,26628
2019-03-27,26625
2019-03-26,26624
2019-03-25,26612
2019-03-24,26563
2019-03-23,26550
2019-03-22,26516
2019-03-21,26518
2019-03-20,26505
2019-03-19,26514
2019-03-18,26508
2019-03-17,26517
2019-03-16,26519
2019-03-15,26522
2019-03-14,26513
2019-03-13,26504
2019-03-12,26512
2019-03-11,26499
2019-03-10,26513
2019-03-09,26503
2019-03-08,26509
2019-03-07,26515
2019-03-06,26516
2019-03-05,26513
2019-03-04,26520
2019-03-03,26515
2019-03-02,26500
2019-03-01,26500
2019-02-28,26509
2019-02-27,26502
2019-02-26,26504
2019-02-25,26523
2019-02-24,26530
2019-02-23,26520
2019-02-22,26505
2019-02-21,26504
2019-02-20,26482
2019-02-19,26486
2019-02-18,26484
2019-02-17,26475
2019-02-16,26459
2019-02-15,26442
2019-02-14,26474
2019-02-13,26474
2019-02-12,26455
2019-02-11,26455
2019-02-10,26443
2019-02-09,26444
2019-02-08,26435
