Date,Followers
2020-05-07,4770000
2020-05-06,4770000
2020-05-05,4770000
2020-05-04,4770000
2020-05-03,4770000
2020-05-02,4770000
2020-05-01,4770000
2020-04-30,4770000
2020-04-29,4770000
2020-04-28,4760000
2020-04-27,4760000
2020-04-26,4760000
2020-04-25,4760000
2020-04-24,4760000
2020-04-23,4760000
2020-04-22,4760000
2020-04-21,4760000
2020-04-20,4760000
2020-04-19,4760000
2020-04-18,4760000
2020-04-17,4760000
2020-04-16,4760000
2020-04-15,4760000
2020-04-14,4760000
2020-04-13,4760000
2020-04-12,4760000
2020-04-11,4760000
2020-04-10,4760000
2020-04-09,4760000
2020-04-08,4750000
2020-04-07,4750000
2020-04-06,4750000
2020-04-05,4750000
2020-04-04,4750000
2020-04-03,4750000
2020-04-02,4750000
2020-04-01,4750000
2020-03-31,4750000
2020-03-30,4750000
2020-03-29,4740000
2020-03-28,4740000
2020-03-27,4740000
2020-03-26,4740000
2020-03-25,4740000
2020-03-24,4740000
2020-03-23,4730000
2020-03-22,4730000
2020-03-21,4730000
2020-03-20,4730000
2020-03-19,4730000
2020-03-18,4720000
2020-03-17,4720000
2020-03-16,4720000
2020-03-15,4710000
2020-03-14,4710000
2020-03-13,4700000
2020-03-12,4700000
2020-03-11,4700000
2020-03-10,4690000
2020-03-09,4690000
2020-03-08,4690000
2020-03-07,4680000
2020-03-06,4680000
2020-03-05,4670000
2020-03-04,4670000
2020-03-03,4670000
2020-03-02,4660000
2020-03-01,4660000
2020-02-29,4660000
2020-02-28,4660000
2020-02-27,4650000
2020-02-26,4650000
2020-02-25,4650000
2020-02-24,4650000
2020-02-23,4650000
2020-02-22,4650000
2020-02-21,4650000
2020-02-20,4650000
2020-02-19,4650000
2020-02-18,4650000
2020-02-17,4650000
2020-02-16,4640000
2020-02-15,4640000
2020-02-14,4640000
2020-02-13,4640000
2020-02-12,4640000
2020-02-11,4640000
2020-02-10,4640000
2020-02-09,4640000
2020-02-08,4640000
2020-02-07,4640000
2020-02-06,4640000
2020-02-05,4640000
2020-02-04,4640000
2020-02-03,4640000
2020-02-02,4640000
2020-02-01,4640000
2020-01-31,4640000
2020-01-30,4640000
2020-01-29,4640000
2020-01-28,4640000
2020-01-27,4640000
2020-01-26,4640000
2020-01-25,4640000
2020-01-24,4640000
2020-01-23,4640000
2020-01-22,4640000
2020-01-21,4640000
2020-01-20,4640000
2020-01-19,4630000
2020-01-18,4630000
2020-01-17,4630000
2020-01-16,4630000
2020-01-15,4630000
2020-01-14,4630000
2020-01-13,4630000
2020-01-12,4630000
2020-01-11,4630000
2020-01-10,4630000
2020-01-09,4630000
2020-01-08,4620000
2020-01-07,4620000
2020-01-06,4620000
2020-01-05,4620000
2020-01-04,4620000
2020-01-03,4620000
2020-01-02,4620000
2020-01-01,4620000
2019-12-31,4620000
2019-12-30,4620000
2019-12-29,4620000
2019-12-28,4620000
2019-12-27,4610000
2019-12-26,4610000
2019-12-25,4610000
2019-12-24,4610000
2019-12-23,4610000
2019-12-22,4600000
2019-12-21,4600000
2019-12-20,4600000
2019-12-19,4600000
2019-12-18,4600000
2019-12-17,4600000
2019-12-16,4600000
2019-12-15,4600000
2019-12-14,4600000
2019-12-13,4600000
2019-12-12,4600000
2019-12-11,4600000
2019-12-10,4600000
2019-12-09,4600000
2019-12-08,4600000
2019-12-07,4600000
2019-12-06,4600000
2019-12-05,4600000
2019-12-04,4600000
2019-12-03,4620000
2019-12-02,4620000
2019-12-01,4620000
2019-11-30,4620000
2019-11-29,4620000
2019-11-28,4620000
2019-11-27,4610000
2019-11-26,4610000
2019-11-25,4610000
2019-11-24,4610000
2019-11-23,4610000
2019-11-22,4610000
2019-11-21,4610000
2019-11-20,4610000
2019-11-19,4610000
2019-11-18,4610000
2019-11-17,4600000
2019-11-16,4600000
2019-11-15,4600000
2019-11-14,4600000
2019-11-13,4600000
2019-11-12,4600000
2019-11-11,4600000
2019-11-10,4590000
2019-11-09,4590000
2019-11-08,4590000
2019-11-07,4580000
2019-11-06,4580000
2019-11-05,4580000
2019-11-04,4580000
2019-11-03,4580000
2019-11-02,4580000
2019-11-01,4570000
2019-10-31,4570000
2019-10-30,4570000
2019-10-29,4570000
2019-10-28,4570000
2019-10-27,4570000
2019-10-26,4560000
2019-10-25,4560000
2019-10-24,4560000
2019-10-23,4560000
2019-10-22,4560000
2019-10-21,4560000
2019-10-20,4560000
2019-10-19,4550000
2019-10-18,4550000
2019-10-17,4550000
2019-10-16,4550000
2019-10-15,4550000
2019-10-14,4540000
2019-10-13,4540000
2019-10-12,4540000
2019-10-11,4540000
2019-10-10,4540000
2019-10-09,4530000
2019-10-08,4530000
2019-10-07,4530000
2019-10-06,4530000
2019-10-05,4530000
2019-10-04,4520000
2019-10-03,4520000
2019-10-02,4520000
2019-10-01,4520000
2019-09-30,4520000
2019-09-29,4520000
2019-09-28,4520000
2019-09-27,4510000
2019-09-26,4510000
2019-09-25,4510000
2019-09-24,4510000
2019-09-23,4510000
2019-09-22,4510000
2019-09-21,4510000
2019-09-20,4510000
2019-09-19,4500000
2019-09-18,4500000
2019-09-17,4507057
2019-09-16,4505916
2019-09-15,4504312
2019-09-14,4503088
2019-09-13,4502114
2019-09-12,4501626
2019-09-11,4500650
2019-09-10,4499593
2019-09-09,4498895
2019-09-08,4498295
2019-09-07,4497394
2019-09-06,4496827
2019-09-05,4496239
2019-09-04,4495692
2019-09-03,4495064
2019-09-02,4494024
2019-09-01,4492815
2019-08-31,4491554
2019-08-30,4489737
2019-08-29,4489129
2019-08-28,4488571
2019-08-27,4487895
2019-08-26,4487349
2019-08-25,4486719
2019-08-24,4486061
2019-08-23,4485683
2019-08-22,4486293
2019-08-21,4485705
2019-08-20,4485091
2019-08-19,4484476
2019-08-18,4483839
2019-08-17,4482599
2019-08-16,4481732
2019-08-15,4480935
2019-08-14,4480482
2019-08-13,4479920
2019-08-12,4478910
2019-08-11,4478274
2019-08-10,4478232
2019-08-09,4477505
2019-08-08,4477218
2019-08-07,4476627
2019-08-06,4475970
2019-08-05,4475651
2019-08-04,4475440
2019-08-03,4474901
2019-08-02,4474279
2019-08-01,4473733
2019-07-31,4472839
2019-07-30,4473174
2019-07-29,4472325
2019-07-28,4471686
2019-07-27,4471282
2019-07-26,4470621
2019-07-25,4469971
2019-07-24,4469280
2019-07-23,4468476
2019-07-22,4467706
2019-07-21,4467083
2019-07-20,4466119
2019-07-19,4464995
2019-07-18,4463789
2019-07-17,4462444
2019-07-16,4460507
2019-07-15,4459022
2019-07-14,4457654
2019-07-13,4456577
2019-07-12,4455751
2019-07-11,4454901
2019-07-10,4453696
2019-07-09,4451773
2019-07-08,4449260
2019-07-07,4447109
2019-07-06,4444678
2019-07-05,4442437
2019-07-04,4440418
2019-07-03,4438842
2019-07-02,4436714
2019-07-01,4434993
2019-06-30,4434148
2019-06-29,4433094
2019-06-28,4431844
2019-06-27,4430797
2019-06-26,4429774
2019-06-25,4428693
2019-06-24,4427333
2019-06-23,4425971
2019-06-22,4424820
2019-06-21,4423917
2019-06-20,4422976
2019-06-19,4422123
2019-06-18,4421023
2019-06-17,4420048
2019-06-16,4418968
2019-06-15,4418594
2019-06-14,4417840
2019-06-13,4417400
2019-06-12,4416885
2019-06-11,4415628
2019-06-10,4414430
2019-06-09,4413677
2019-06-08,4412362
2019-06-07,4410848
2019-06-06,4409998
2019-06-05,4408675
2019-06-04,4406842
2019-06-03,4405821
2019-06-02,4404267
2019-06-01,4402039
2019-05-31,4400881
2019-05-30,4399690
2019-05-29,4398099
2019-05-28,4396485
2019-05-27,4394049
2019-05-26,4391342
2019-05-25,4388781
2019-05-24,4385650
2019-05-23,4383317
2019-05-22,4381134
2019-05-21,4379478
2019-05-20,4377763
2019-05-19,4374617
2019-05-18,4371204
2019-05-17,4368981
2019-05-16,4366615
2019-05-15,4363839
2019-05-14,4361076
2019-05-13,4358017
2019-05-12,4353896
2019-05-11,4349739
2019-05-10,4346186
2019-05-09,4342993
2019-05-08,4339836
2019-05-07,4335895
2019-05-06,4331398
2019-05-05,4324534
2019-05-04,4318559
2019-05-03,4314815
2019-05-02,4311896
2019-05-01,4308741
2019-04-30,4305523
